0,1,2,3
Calcitriol,Calcitriol,Vitamin D-binding protein,Vitamin transporter activity
Ergocalciferol,Ergocalciferol,Vitamin D-binding protein,Vitamin transporter activity
Cholecalciferol,Cholecalciferol,Vitamin D-binding protein,Vitamin transporter activity
Flunisolide,Flunisolide,Corticosteroid-binding globulin,Steroid binding
Lovastatin,Lovastatin,Serum albumin,Toxic substance binding
Enflurane,Enflurane,Serum albumin,Toxic substance binding
Alclometasone,Alclometasone,Corticosteroid-binding globulin,Steroid binding
Benzatropine,Benzatropine,Serum albumin,Toxic substance binding
Diethylstilbestrol,Diethylstilbestrol,Transthyretin,Identical protein binding
Metoprolol,Metoprolol,Serum albumin,Toxic substance binding
Dicoumarol,Dicoumarol,Serum albumin,Toxic substance binding
Argatroban,Argatroban,Serum albumin,Toxic substance binding
Argatroban,Argatroban,Alpha-1-acid glycoprotein 1,
Argatroban,Argatroban,Alpha-1-acid glycoprotein 2,
Disopyramide,Disopyramide,Alpha-1-acid glycoprotein 1,
Atomoxetine,Atomoxetine,Serum albumin,Toxic substance binding
Atomoxetine,Atomoxetine,Alpha-1-acid glycoprotein 1,
Atomoxetine,Atomoxetine,Alpha-1-acid glycoprotein 2,
Atomoxetine,Atomoxetine,High affinity immunoglobulin gamma Fc receptor I,Receptor signaling protein activity
Etomidate,Etomidate,"Solute carrier family 2, facilitated glucose transporter member 1",Xenobiotic transporter activity
Etonogestrel,Etonogestrel,Serum albumin,Toxic substance binding
Etonogestrel,Etonogestrel,Sex hormone-binding globulin,Androgen binding
Morphine,Morphine,Serum albumin,Toxic substance binding
Acetaminophen,Acetaminophen,Serum albumin,Toxic substance binding
Gefitinib,Gefitinib,Serum albumin,Toxic substance binding
Gefitinib,Gefitinib,Alpha-1-acid glycoprotein 1,
Amitriptyline,Amitriptyline,Serum albumin,Toxic substance binding
Amitriptyline,Amitriptyline,Alpha-1-acid glycoprotein 1,
Floxuridine,Floxuridine,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Fluorometholone,Fluorometholone,Corticosteroid-binding globulin,Steroid binding
Hydromorphone,Hydromorphone,Serum albumin,Toxic substance binding
Indomethacin,Indomethacin,Serum albumin,Toxic substance binding
Ipratropiumbromide,Ipratropium,Serum albumin,Toxic substance binding
Ipratropiumbromide,Ipratropium,Alpha-1-acid glycoprotein 1,
Ipratropiumbromide,Ipratropium,Alpha-1-acid glycoprotein 2,
Methadone,Methadone,Alpha-1-acid glycoprotein 1,
Methadone,Methadone,Serum albumin,Toxic substance binding
Diltiazem,Diltiazem,Serum albumin,Toxic substance binding
Diltiazem,Diltiazem,Alpha-1-acid glycoprotein 1,
Beclomethasonedipropionate,Beclomethasone dipropionate,Corticosteroid-binding globulin,Steroid binding
Acetohexamide,Acetohexamide,Serum albumin,Toxic substance binding
Betamethasone,Betamethasone,Serum albumin,Toxic substance binding
Betamethasone,Betamethasone,Corticosteroid-binding globulin,Steroid binding
Levothyroxine,Levothyroxine,Transthyretin,Identical protein binding
Levothyroxine,Levothyroxine,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Levothyroxine,Levothyroxine,Serum albumin,Toxic substance binding
Imipramine,Imipramine,Alpha-1-acid glycoprotein 1,
Imipramine,Imipramine,Serum albumin,Toxic substance binding
Acitretin,Acitretin,Serum albumin,Toxic substance binding
Nabumetone,Nabumetone,Serum albumin,Toxic substance binding
Fluoxetine,Fluoxetine,Serum albumin,Toxic substance binding
Fluoxetine,Fluoxetine,Alpha-1-acid glycoprotein 1,
Duloxetine,Duloxetine,Serum albumin,Toxic substance binding
Duloxetine,Duloxetine,Alpha-1-acid glycoprotein 1,
Duloxetine,Duloxetine,Alpha-1-acid glycoprotein 2,
Chlorpromazine,Chlorpromazine,Serum albumin,Toxic substance binding
Buspirone,Buspirone,Serum albumin,Toxic substance binding
Buspirone,Buspirone,Alpha-1-acid glycoprotein 1,
Cisplatin,Cisplatin,Serum albumin,Toxic substance binding
Alitretinoin,Alitretinoin,Cellular retinoic acid-binding protein 2,Transporter activity
Alitretinoin,Alitretinoin,Cellular retinoic acid-binding protein 1,Transporter activity
Erlotinib,Erlotinib,Serum albumin,Toxic substance binding
Erlotinib,Erlotinib,Alpha-1-acid glycoprotein 1,
Ciprofloxacin,Ciprofloxacin,Serum albumin,Toxic substance binding
Amoxapine,Amoxapine,Alpha-1-acid glycoprotein 1,
Fluorouracil,Fluorouracil,Serum albumin,Toxic substance binding
Fluorouracil,Fluorouracil,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Lamotrigine,Lamotrigine,Serum albumin,Toxic substance binding
Hydroxyzine,Hydroxyzine,Serum albumin,Toxic substance binding
Methotrexate,Methotrexate,Serum albumin,Toxic substance binding
Clonidine,Clonidine,Serum albumin,Toxic substance binding
Enalapril,Enalapril,Serum albumin,Toxic substance binding
Diclofenac,Diclofenac,Transthyretin,Identical protein binding
Diclofenac,Diclofenac,Serum albumin,Toxic substance binding
Fluticasonepropionate,Fluticasone propionate,Corticosteroid-binding globulin,Steroid binding
Fluticasonepropionate,Fluticasone propionate,Solute carrier organic anion transporter family member 1B1,Sodium-independent organic anion transmembrane transporter activity
Fluocinoloneacetonide,Fluocinolone acetonide,Corticosteroid-binding globulin,Steroid binding
Labetalol,Labetalol,Serum albumin,Toxic substance binding
Labetalol,Labetalol,Alpha-1-acid glycoprotein 1,
Labetalol,Labetalol,Alpha-1-acid glycoprotein 2,
Medroxyprogesteroneacetate,Medroxyprogesterone acetate,Serum albumin,Toxic substance binding
Chloroquine,Chloroquine,Serum albumin,Toxic substance binding
Chloroquine,Chloroquine,Alpha-1-acid glycoprotein 1,
Chloroquine,Chloroquine,Alpha-1-acid glycoprotein 2,
Imatinib,Imatinib,Serum albumin,Toxic substance binding
Imatinib,Imatinib,Alpha-1-acid glycoprotein 1,
Niacin,Niacin,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Clofibrate,Clofibrate,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Mitotane,Mitotane,Sex hormone-binding globulin,Androgen binding
Mitotane,Mitotane,Corticosteroid-binding globulin,Steroid binding
Mitotane,Mitotane,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Estrone,Estrone,Serum albumin,Toxic substance binding
Isoflurophate,Isoflurophate,Serum albumin,Toxic substance binding
Losartan,Losartan,Serum albumin,Toxic substance binding
Furosemide,Furosemide,Serum albumin,Toxic substance binding
Furosemide,Furosemide,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Flurbiprofen,Flurbiprofen,Serum albumin,Toxic substance binding
Apomorphine,Apomorphine,Serum albumin,Toxic substance binding
Nateglinide,Nateglinide,Serum albumin,Toxic substance binding
Nateglinide,Nateglinide,Alpha-1-acid glycoprotein 1,
Meclizine,Meclizine,Serum albumin,Toxic substance binding
Hydrocortisone,Hydrocortisone,Sex hormone-binding globulin,Androgen binding
Hydrocortisone,Hydrocortisone,Corticosteroid-binding globulin,Steroid binding
Etodolac,Etodolac,Serum albumin,Toxic substance binding
Isoflurane,Isoflurane,Serum albumin,Toxic substance binding
Ethotoin,Ethotoin,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Irinotecan,Irinotecan,Serum albumin,Toxic substance binding
Estradiol,Estradiol,Sex hormone-binding globulin,Androgen binding
Estradiol,Estradiol,Serum albumin,Toxic substance binding
Estradiol,Estradiol,"Fatty acid-binding protein, intestinal",Transporter activity
Mefenamicacid,Mefenamic acid,Serum albumin,Toxic substance binding
Naproxen,Naproxen,Serum albumin,Toxic substance binding
Alfentanil,Alfentanil,Alpha-1-acid glycoprotein 1,
Alfentanil,Alfentanil,Serum albumin,Toxic substance binding
Indapamide,Indapamide,Alpha-1-acid glycoprotein 1,
Indapamide,Indapamide,Alpha-1-acid glycoprotein 2,
Indapamide,Indapamide,Serum albumin,Toxic substance binding
Fentanyl,Fentanyl,Serum albumin,Toxic substance binding
Fentanyl,Fentanyl,Alpha-1-acid glycoprotein 1,
Fentanyl,Fentanyl,Alpha-1-acid glycoprotein 2,
Meloxicam,Meloxicam,Serum albumin,Toxic substance binding
Diazepam,Diazepam,Serum albumin,Toxic substance binding
Clofazimine,Clofazimine,Serum albumin,Toxic substance binding
Diflunisal,Diflunisal,Transthyretin,Identical protein binding
Diflunisal,Diflunisal,Serum albumin,Toxic substance binding
Etacrynicacid,Etacrynic acid,Serum albumin,Toxic substance binding
Cocaine,Cocaine,Alpha-1-acid glycoprotein 1,
Cocaine,Cocaine,Alpha-1-acid glycoprotein 2,
Cyclobenzaprine,Cyclobenzaprine,Serum albumin,Toxic substance binding
Maprotiline,Maprotiline,Alpha-1-acid glycoprotein 1,
Fexofenadine,Fexofenadine,Serum albumin,Toxic substance binding
Fexofenadine,Fexofenadine,Alpha-1-acid glycoprotein 1,
Fexofenadine,Fexofenadine,Alpha-1-acid glycoprotein 2,
Isoniazid,Isoniazid,Serum albumin,Toxic substance binding
Methylprednisolone,Methylprednisolone,Serum albumin,Toxic substance binding
Ethinylestradiol,Ethinylestradiol,Serum albumin,Toxic substance binding
Ethinylestradiol,Ethinylestradiol,Sex hormone-binding globulin,Androgen binding
Formoterol,Formoterol,Serum albumin,Toxic substance binding
Azathioprine,Azathioprine,Serum albumin,Toxic substance binding
Doxorubicin,Doxorubicin,Serum albumin,Toxic substance binding
Letrozole,Letrozole,Serum albumin,Toxic substance binding
Ketoprofen,Ketoprofen,Serum albumin,Toxic substance binding
Clobetasolpropionate,Clobetasol propionate,Corticosteroid-binding globulin,Steroid binding
Clobetasolpropionate,Clobetasol propionate,Serum albumin,Toxic substance binding
Glyburide,Glyburide,Serum albumin,Toxic substance binding
Ketoconazole,Ketoconazole,Serum albumin,Toxic substance binding
Ketoconazole,Ketoconazole,Sex hormone-binding globulin,Androgen binding
Irbesartan,Irbesartan,Serum albumin,Toxic substance binding
Irbesartan,Irbesartan,Alpha-1-acid glycoprotein 1,
Irbesartan,Irbesartan,Alpha-1-acid glycoprotein 2,
Fenofibrate,Fenofibrate,Serum albumin,Toxic substance binding
Ibuprofen,Ibuprofen,Serum albumin,Toxic substance binding
Glipizide,Glipizide,Serum albumin,Toxic substance binding
Clonazepam,Clonazepam,Serum albumin,Toxic substance binding
Atorvastatin,Atorvastatin,Serum albumin,Toxic substance binding
Miconazole,Miconazole,Serum albumin,Toxic substance binding
Amiodarone,Amiodarone,Serum albumin,Toxic substance binding
Gliclazide,Gliclazide,Serum albumin,Toxic substance binding
Dutasteride,Dutasteride,Serum albumin,Toxic substance binding
Dutasteride,Dutasteride,Alpha-1-acid glycoprotein 1,
Carvedilol,Carvedilol,Serum albumin,Toxic substance binding
Levofloxacin,Levofloxacin,Serum albumin,Toxic substance binding
Doxepin,Doxepin,Serum albumin,Toxic substance binding
Doxepin,Doxepin,Alpha-1-acid glycoprotein 1,
Desipramine,Desipramine,Alpha-1-acid glycoprotein 1,
Bupropion,Bupropion,Alpha-1-acid glycoprotein 1,
Halothane,Halothane,Serum albumin,Toxic substance binding
Arsenictrioxide,Arsenic trioxide,Serum albumin,Toxic substance binding
Naloxone,Naloxone,Serum albumin,Toxic substance binding
Flecainide,Flecainide,Alpha-1-acid glycoprotein 1,
Flecainide,Flecainide,Alpha-1-acid glycoprotein 2,
Flecainide,Flecainide,Serum albumin,Toxic substance binding
Captopril,Captopril,Serum albumin,Toxic substance binding
Ceftriaxone,Ceftriaxone,Serum albumin,Toxic substance binding
Dantrolene,Dantrolene,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Budesonide,Budesonide,Corticosteroid-binding globulin,Steroid binding
Budesonide,Budesonide,Serum albumin,Toxic substance binding
Metoclopramide,Metoclopramide,Alpha-1-acid glycoprotein 1,
Dexamethasone,Dexamethasone,Serum albumin,Toxic substance binding
Levodopa,Levodopa,Serum albumin,Toxic substance binding
Aripiprazole,Aripiprazole,Serum albumin,Toxic substance binding
Gemfibrozil,Gemfibrozil,Serum albumin,Toxic substance binding
Clomipramine,Clomipramine,Serum albumin,Toxic substance binding
Hydralazine,Hydralazine,Serum albumin,Toxic substance binding
Fosphenytoin,Fosphenytoin,Serum albumin,Toxic substance binding
Fosphenytoin,Fosphenytoin,Thyroxine-binding globulin,Serine-type endopeptidase inhibitor activity
Cefazolin,Cefazolin,Serum albumin,Toxic substance binding
